freq_hz,requested_duty_pct,firmware_duty_pct,measured_duty_pct,deviation_pp
1000,0,0.0,0.0,0.0
1000,1,1.0,0.9990009990009581,-0.0009990009990419324
1000,2,2.0,1.998401278976745,-0.0015987210232550897
1000,10,10.0,10.000999100809162,0.0009991008091621012
1000,20,20.0,20.001998201616935,0.0019982016169350914
1000,30,30.0,30.00099870168773,0.000998701687731085
1000,40,40.0,40.00000000000014,1.4210854715202004e-13
1000,50,50.0,50.0,0.0
1000,60,60.0,60.00000000000028,2.7711166694643907e-13
1000,70,70.0,70.00199720391367,0.001997203913674639
1000,80,80.0,80.00199680511187,0.0019968051118723906
1000,90,90.0,89.99999999999997,-2.842170943040401e-14
1000,98,98.0,98.00199800199879,0.0019980019987855258
1000,99,99.0,99.00119856172493,0.001198561724933711
1000,100,100.0,100.0,0.0
10000,0,0.0,0.0,0.0
10000,1,1.0,0.99900099900201,-0.000999000997989996
10000,2,2.0,1.99800199800402,-0.001998001995979992
10000,10,10.0,9.990009990019407,-0.009990009980592518
10000,20,20.0,19.980019980036047,-0.0199800199639526
10000,30,30.0,29.970029970034652,-0.029970029965348033
10000,40,40.0,40.019960079829815,0.01996007982981496
10000,50,50.0,50.00000000000694,6.942002528376179e-12
10000,60,60.0,60.03996003995703,0.03996003995703035
10000,70,70.0,70.02997002996743,0.029970029967429923
10000,80,80.0,80.0199800199806,0.01998001998059351
10000,90,90.0,90.00999000999047,0.009990009990474391
10000,98,98.0,98.00199800199611,0.001998001996113885
10000,99,99.0,99.00099900099806,0.000999000998064048
10000,100,100.0,100.0,0.0
50000,0,0.0,0.0,0.0
50000,1,0.937,0.9999999999941019,-5.898059818321144e-12
50000,2,2.031,1.9999999999888978,-1.1102230246251565e-11
50000,10,10.0,10.00000000000694,6.9402261715367786e-12
50000,20,20.0,20.00000000001388,1.3880452343073557e-11
50000,30,30.0,29.999999999999567,-4.334310688136611e-13
50000,40,40.0,40.00000000000694,6.942002528376179e-12
50000,50,50.0,50.0,0.0
50000,60,60.0,60.0000000000052,5.201172825763933e-12
50000,70,70.0,70.00000000000347,3.467448550509289e-12
50000,80,80.0,80.00000000000173,1.7337242752546445e-12
50000,90,90.0,89.99999999999913,-8.668621376273222e-13
50000,98,97.968,98.0000000000118,1.1795009413617663e-11
50000,99,99.062,99.00000000004025,4.0245140553452075e-11
50000,100,100.0,100.0,0.0
